"Property ID","Address Detail PID","Property Name","Address Detail Name"
124103,GANSW720535529,"Unit 204/4 Seymour Street, Ropes Crossing, NSW 2760","UNIT 204 4 SEYMOUR STREET ROPES CROSSING NSW"
124104,GANSW720635870,"Unit 204/30 Innesdale Road, Wolli Creek, NSW 2205","UNIT 204 30 INNESDALE ROAD WOLLI CREEK NSW"
124105,GANSW720636473,"Unit 204/27 Gertrude Street, Wolli Creek, NSW 2205","UNIT 204 27 GERTRUDE STREET WOLLI CREEK NSW"
124106,GAQLD720403053,"Unit 204/75 Highgrove Drive, Highfields, QLD 4352","UNIT 204 75 HIGHGROVE DRIVE HIGHFIELDS QLD"
124107,GAVIC720544231,"Unit 204/1849 Mount Macedon Road, Woodend, VIC 3442","UNIT 204 1849 MOUNT MACEDON ROAD WOODEND VIC"
124108,GANSW718777256,"Unit 204/14 Defries Avenue, Zetland, NSW 2017","UNIT 204 14 DEFRIES AVENUE ZETLAND NSW"
124110,GANSW718663017,"Unit 204/12 Defries Avenue, Zetland, NSW 2017","UNIT 204 12 DEFRIES AVENUE ZETLAND NSW"
124116,GAVIC425495425,"Unit 204/1 Kennedy Avenue, Richmond, VIC 3121","UNIT 204 1 KENNEDY AVENUE RICHMOND VIC"
124117,GAVIC425496769,"Unit 204/1 Studio Walk, Richmond, VIC 3121","UNIT 204 1 STUDIO WALK RICHMOND VIC"
124118,GAVIC425308024,"Unit 204/1 Barnet Way, Richmond, VIC 3121","UNIT 204 1 BARNET WAY RICHMOND VIC"
124119,GAVIC719442345,"Unit 204/1 Evergreen Mews, Armadale, VIC 3143","UNIT 204 1 EVERGREEN MEWS ARMADALE VIC"
124120,GANSW720383927,"Unit 204/1 Thallon Street, Carlingford, NSW 2118","UNIT 204 1 THALLON STREET CARLINGFORD NSW"
124121,GAVIC425495387,"Unit 204/10 Jago Street, Richmond, VIC 3121","UNIT 204 10 JAGO STREET RICHMOND VIC"
124122,GAVIC425336652,"Unit 204A/11 Champa Road, Sunshine West, VIC 3020","UNIT 204 11 CHAMPA ROAD SUNSHINE WEST VIC"
124124,GAVIC425481310,"Unit 204/2 Barnet Way, Richmond, VIC 3121","UNIT 204 2 BARNET WAY RICHMOND VIC"
124125,GAVIC425485517,"Unit 204/3 Kennedy Avenue, Richmond, VIC 3121","UNIT 204 3 KENNEDY AVENUE RICHMOND VIC"
124126,GAVIC719417010,"Unit 204/3 Evergreen Mews, Armadale, VIC 3143","UNIT 204 3 EVERGREEN MEWS ARMADALE VIC"
124128,GAVIC425485518,"Unit 204/5 Kennedy Avenue, Richmond, VIC 3121","UNIT 204 5 KENNEDY AVENUE RICHMOND VIC"
124129,GAVIC719442296,"Unit 204/5 Evergreen Mews, Armadale, VIC 3143","UNIT 204 5 EVERGREEN MEWS ARMADALE VIC"
124135,GAVIC719421188,"Unit 204/7 Evergreen Mews, Armadale, VIC 3143","UNIT 204 7 EVERGREEN MEWS ARMADALE VIC"
124141,GAQLD720310958,"Unit 204/9 Dux Drive, Bongaree, QLD 4507","LOT 2 UNIT 204 9 DUX DRIVE BONGAREE QLD"
124142,GAQLD424858060,"Unit 20401/8 Hercules Street, Hamilton, QLD 4007","LOT 20401 UNIT 20401 8 HERCULES STREET HAMILTON QLD"
124144,GAQLD424858061,"Unit 20402/8 Hercules Street, Hamilton, QLD 4007","LOT 20402 UNIT 20402 8 HERCULES STREET HAMILTON QLD"
124146,GAQLD424858062,"Unit 20403/8 Hercules Street, Hamilton, QLD 4007","LOT 20403 UNIT 20403 8 HERCULES STREET HAMILTON QLD"
124148,GAQLD424858063,"Unit 20404/8 Hercules Street, Hamilton, QLD 4007","LOT 20404 UNIT 20404 8 HERCULES STREET HAMILTON QLD"
124150,GAQLD424858064,"Unit 20405/8 Hercules Street, Hamilton, QLD 4007","LOT 20405 UNIT 20405 8 HERCULES STREET HAMILTON QLD"
124152,GAQLD424858065,"Unit 20406/8 Hercules Street, Hamilton, QLD 4007","LOT 20406 UNIT 20406 8 HERCULES STREET HAMILTON QLD"
124154,GAQLD424858066,"Unit 20407/8 Hercules Street, Hamilton, QLD 4007","LOT 20407 UNIT 20407 8 HERCULES STREET HAMILTON QLD"
124156,GAQLD424858067,"Unit 20408/8 Hercules Street, Hamilton, QLD 4007","LOT 20408 UNIT 20408 8 HERCULES STREET HAMILTON QLD"
124158,GAQLD424858068,"Unit 20409/8 Hercules Street, Hamilton, QLD 4007","LOT 20409 UNIT 20409 8 HERCULES STREET HAMILTON QLD"
124159,GAQLD719137466,"Unit 2041/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2041 UNIT 2041 123 CAVENDISH ROAD COORPAROO QLD"
124160,GAQLD424858069,"Unit 20410/8 Hercules Street, Hamilton, QLD 4007","LOT 20410 UNIT 20410 8 HERCULES STREET HAMILTON QLD"
124161,GAQLD424858070,"Unit 20411/8 Hercules Street, Hamilton, QLD 4007","LOT 20411 UNIT 20411 8 HERCULES STREET HAMILTON QLD"
124162,GAQLD424858071,"Unit 20412/8 Hercules Street, Hamilton, QLD 4007","LOT 20412 UNIT 20412 8 HERCULES STREET HAMILTON QLD"
124163,GAQLD719145057,"Unit 2042/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2042 UNIT 2042 123 CAVENDISH ROAD COORPAROO QLD"
124164,GAQLD719135348,"Unit 2043/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2043 UNIT 2043 123 CAVENDISH ROAD COORPAROO QLD"
124165,GAQLD719138895,"Unit 2044/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2044 UNIT 2044 123 CAVENDISH ROAD COORPAROO QLD"
124166,GAQLD719136189,"Unit 2045/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2045 UNIT 2045 123 CAVENDISH ROAD COORPAROO QLD"
124167,GAQLD719132298,"Unit 2046/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2046 UNIT 2046 123 CAVENDISH ROAD COORPAROO QLD"
124168,GAQLD719125402,"Unit 2047/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2047 UNIT 2047 123 CAVENDISH ROAD COORPAROO QLD"
124169,GAQLD719127364,"Unit 2048/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2048 UNIT 2048 123 CAVENDISH ROAD COORPAROO QLD"
124170,GAQLD719134829,"Unit 2049/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2049 UNIT 2049 123 CAVENDISH ROAD COORPAROO QLD"
124171,GASA_718981288,"Unit 205/62 City View Boulevard, Lightsview, SA 5085","UNIT 205 62 CITY VIEW BOULEVARD LIGHTSVIEW SA"
124172,GAVIC425366329,"Unit 205/8 Yarra Bing Crescent, Burwood, VIC 3125","APT 205 8 YARRA BING CRESCENT BURWOOD VIC"
124173,GANSW718377751,"Unit 205/100 Gilchrist Drive, Campbelltown, NSW 2560","UNIT 205 100 GILCHRIST DRIVE CAMPBELLTOWN NSW"
124174,GAVIC425684862,"Unit 205/12 Ormond Boulevard, Bundoora, VIC 3083","UNIT 205 12 ORMOND BOULEVARD BUNDOORA VIC"
124175,GAVIC425786053,"Unit 205/35 Princeton Terrace, Bundoora, VIC 3083","UNIT 205 35 PRINCETON TERRACE BUNDOORA VIC"
